Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,
"C10, C11, C12, C13, C14, C15, C17, C20, C24, C8, C9",0402,11,0.1uF,
"C16, C3",0402,2,1uF,
"C18, C19",0402,2,33pF,
D2,0402,1,ONBOARD_LED,
D5,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D6,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5817,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Battery_Output,
"J10, J14, J9",PinHeader_1x02_P2.54mm_Vertical,3,PushButton,
J11,PinHeader_1x02_P2.54mm_Vertical,1,LED_RED,
J12,PinHeader_1x02_P2.54mm_Vertical,1,LED_GREEN,
J13,PinHeader_1x02_P2.54mm_Vertical,1,LED_BLUE,
J2,PinHeader_1x04_P2.54mm_Vertical,1,SSD1306,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Vibration_Motor,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J5,PinHeader_2x03_P2.54mm_Vertical,1,DF Player Mini,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Battery_Charger,
J8,PinHeader_1x05_P2.54mm_Vertical,1,RotaryEncoder,
Q1,SOT-23,1,AO3401A,
Q3,SOT-23,1,Q_NMOS_GSD,
R1,0402,1,100,
R10,0402,1,100K,
"R11, R12, R13, R2",0402,4,220,
"R21, R22",0402,2,4.7K,
"R3, R4",0402,2,27,
"R5, R7",0402,2,1K,
R6,0402,1,10K,
"R8, R9",0402,2,5.1K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,SOT-23,1,MCP1700x-330xxTT,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
